teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
12603,Petrolul Ploiesti,Petrolul Ploiesti,PET,Petrolul Ploiesti,Petrolul,000000,C60000,,5894,eng.petrolul_ploiesti
12698,FC Famalicao,FC Famalicao,FAM,FC Famalicao,FC Famalicao,FFFFFF,183760,https://a.espncdn.com/i/teamlogos/soccer/500/12698.png,8157,eng.fc_famalicao
13018,Ludogorets Razgrad,Ludogorets Razgrad,LUD,Ludogorets Razgrad,Ludogorets,008000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/13018.png,0,uefa.ludogorets_razgrad
13033,Al Fateh,Al Fateh,FAT,Al Fateh,Al Fateh,26ba09,0999ba,https://a.espncdn.com/i/teamlogos/soccer/500/13033.png,5344,uefa.al-fateh
13150,Nizhny Novgorod,Nizhny Novgorod,NIZ,Nizhny Novgorod,Novgorod,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/13150.png,7532,rus.nizhny_novgorod
13294,Wolfsberger,Wolfsberger,WOL,Wolfsberger,Wolfsberger,1a1a1a,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/13294.png,4931,aut.wolfsberger_ac
13397,Formartine United,Formartine United,FOR,Formartine United,Formartine,000000,C60000,,0,sco.formartine_united
13481,Metropolitanos FC,Metropolitanos FC,MET,Metropolitanos FC,Metropolitanos,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/13481.png,5413,ven.dep._metropolitano
13582,Dominica,Dominica,DMA,Dominica,Dominica,32ad42,C60000,https://a.espncdn.com/i/teamlogos/countries/500/dma.png,0,dma
13584,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VIN,St. Vincent and the Grenadines,St. Vincent ,32ad42,C60000,https://a.espncdn.com/i/teamlogos/countries/500/vin.png,0,vin
13696,Western Sydney Wanderers,Western Sydney Wanderers,WSW,Western Sydney Wanderers,Western Sydney,C60000,c9b177,https://a.espncdn.com/i/teamlogos/soccer/500/13696.png,8044,aus.western_sydney_fc
15360,Chicago Red Stars,Chicago Red Stars,CHI,Chicago Red Stars,Chicago,c7102e,41b6e6,https://a.espncdn.com/i/teamlogos/soccer/500/15360.png,2266,usa.redstars
15362,Portland Thorns FC,Portland Thorns FC,POR,Portland Thorns FC,Portland,000000,ee202f,https://a.espncdn.com/i/teamlogos/soccer/500/15362.png,4383,usa.portland
15364,NJ/NY Gotham FC,NJ/NY Gotham FC,GFC,NJ/NY Gotham FC,NJ/NY,a9f1fd,000000,https://a.espncdn.com/i/teamlogos/soccer/500/15364.png,4653,usa.skyblue
15365,Washington Spirit,Washington Spirit,WAS,Washington Spirit,Washington,000000,ede939,https://a.espncdn.com/i/teamlogos/soccer/500/15365.png,7604,usa.spirit
15366,North Carolina Courage,North Carolina Courage,NC,North Carolina Courage,North Carolina,ab0033,00416b,https://a.espncdn.com/i/teamlogos/soccer/500/15366.png,6541,usa.wnyflash
15424,Paysandu,Paysandu,PAY,Paysandu,Paysandu,0093EC,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500/15424.png,5631,bra.paysandu_sc
15515,Shanghai Port,Shanghai Port,SIPG,Shanghai Port,Shanghai Port,C60000,fcfcfc,https://a.espncdn.com/i/teamlogos/soccer/500/15515.png,9544,esp.shanghai_sipg
15561,Sousa EC,Sousa EC,SEC,Sousa EC,Sousa EC,000000,C60000,,9011,bra.sousa_ec
15562,Aguia de Maraba,Aguia de Maraba,ADM,Aguia de Maraba,Aguia de Mar,000000,C60000,,0,bra.aguia_de_maraba
15710,SSV Ulm 1846,SSV Ulm 1846,ULM,SSV Ulm 1846,SSV Ulm ,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/15710.png,2070,ger.ssv_ulm_1846
15720,Atlético de San Luis,Atlético de San Luis,ASL,Atlético de San Luis,Atl. San Luis,EF0107,dfa829,https://a.espncdn.com/i/teamlogos/soccer/500/15720.png,4906,mex.at._san_luis
15784,Arouca,Arouca,ARO,Arouca,Arouca,ffea01,293dc2,https://a.espncdn.com/i/teamlogos/soccer/500/15784.png,5246,por.arouca
15967,Olot,Olot,OLO,Olot,Olot,000000,C60000,,0,
16721,Gibraltar,Gibraltar,GIB,Gibraltar,Gibraltar,DE2918,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/16721.png,0,fifa.gibraltar
17086,Independiente del Valle,Independiente del Valle,IDV,Independiente del Valle,Ind. del Valle,000D5D,000000,https://a.espncdn.com/i/teamlogos/soccer/500/17086.png,8682,independiente_del_valle
17090,Deportivo La Guaira,Deportivo La Guaira,DEP,Deportivo La Guaira,La Guaira,fc4401,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17090.png,5413,deportivo_la_guaira
17313,Cuiabá,Cuiabá,CUI,Cuiabá,Cuiabá,004526,FFD65A,https://a.espncdn.com/i/teamlogos/soccer/500/17313.png,5378,cuiaba
17360,Indy Eleven,Indy Eleven,INDY,Indy Eleven,Indy XI,13018c,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17360.png,6592,indy_eleven
17361,Tampa Bay Rowdies,Tampa Bay Rowdies,TBR,Tampa Bay Rowdies,Tampa Bay,09bc0c,f2ee07,https://a.espncdn.com/i/teamlogos/soccer/500/17361.png,5344,tampa_bay_rowdies
17362,Minnesota United FC,Minnesota United FC,MIN,Minnesota United FC,Minnesota,000000,9bcde4,https://a.espncdn.com/i/teamlogos/soccer/500/17362.png,7996,usa.minnesota_united_fc
17489,Bremer SV,Bremer SV,BRE,Bremer SV,Bremer SV,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17489.png,0,bremer_sv
17490,FC Viktoria 1889 Berlin,FC Viktoria 1889 Berlin,FVB,FC Viktoria 1889 Berlin,FC Viktoria ,000000,C60000,,0,fc_viktoria_1889_berlin
17491,Würzburger Kickers,Würzburger Kickers,FWK,Würzburger Kickers,Würzburger K,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17491.png,5801,wrzburger_kickers
17534,Leganés,Leganés,LEG,Leganés,Leganés,6cace4,32cd32,https://a.espncdn.com/i/teamlogos/soccer/500/17534.png,5962,esp.leganes
17544,Antwerp,Antwerp,ANT,Antwerp,Antwerp,C60000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/17544.png,7268,friendly.antwerp
17545,Richmond Kickers,Richmond Kickers,RICH,Richmond Kickers,Richmond,d8172b,000000,https://a.espncdn.com/i/teamlogos/soccer/500/17545.png,6270,friendly.richmond_kickers
17565,Zamora CF,Zamora CF,ZAM,Zamora CF,Zamora CF,000000,000000,,0,esp.zamora_cf
17582,East Kilbride,East Kilbride,KIL,East Kilbride,East Kilbride,000000,C60000,,0,sco.east_kilbride
17606,New York City FC,New York City FC,NYC,New York City FC,NYCFC,9fd2ff,000229,https://a.espncdn.com/i/teamlogos/soccer/500/17606.png,5344,usa.nyc_fc
17640,Spain,Spain,ESP,Spain,Spain,c60b1e,ffc400,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,3881,esp.w
17689,Johor Darul Ta'zim,Johor Darul Ta'zim,DAR,Johor Darul Ta'zim,Darul Ta'zim,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17689.png,8429,afc.darul_takzim
17702,Deportivo Riestra,Deportivo Riestra,RIE,Deportivo Riestra,Riestra,212121,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17702.png,6126,deportivo_riestra
17720,Santo André,Santo André,STA,Santo André,Santo André,FEDC00,417505,https://a.espncdn.com/i/teamlogos/soccer/500/17720.png,5479,santo_andr
